	patent_id	application_citation_id
838	7597800	2006/0283977
839	7585410	2006/0283977
840	7153423	2002/0125190
841	7153423	2002/0060192
842	7104219	2004/0240943
843	7104219	2002/0094239
844	7104219	2005/0002741
845	7104219	2004/0013473
846	7021229	2002/0104469
847	7021229	2004/0099192
848	8580122	2006/0043025
849	8440154	2010/0224480
850	8440154	2008/0179178
851	8440154	2010/0200515
852	8440154	2004/0195088
853	8440154	2010/0023377
854	8440154	2003/0230537
855	8398335	2007/0062701
856	8382075	2008/0213137
857	8382075	2002/0069838
858	8382075	2004/0213721
859	8382075	2007/0251650
860	8382075	2002/0158024
861	8382075	2005/0074712
862	8382075	2004/0040671
863	8382075	2004/0045681
864	8202500	2010/0224480
865	8202500	2010/0023377
866	8202500	2003/0230537
867	8202500	2008/0179178
868	8202500	2004/0195088
869	8202500	2010/0200515
870	8100996	2004/0034111
871	8100996	2007/0244000
872	8100996	2002/0192118
873	8100996	2004/0229752
874	8100996	2004/0180971
875	8100996	2005/0165121
876	8100996	2006/0036106
877	8100996	2005/0163701
878	8100996	2005/0282918
879	8100996	2006/0142400
880	8100996	2007/0004810
881	8100996	2005/0176832
882	8100996	2004/0188326
883	8100996	2007/0197808
884	8100996	2006/0041029
885	8100996	2011/0147665
886	8100996	2002/0028164
887	8100996	2007/0197801
888	8100996	2006/0251558
889	8100996	2006/0135630
890	8100996	2005/0203195
891	8100996	2007/0017633
892	8100996	2006/0251552
893	8100996	2006/0020155
894	8100996	2003/0225169
895	8100996	2003/0007904
896	8100996	2006/0074134
897	8100996	2004/0134660
898	8052349	2005/0220542
899	7967990	2006/0043025
900	7959376	2006/0240368
901	7959376	2004/0040671
902	7959376	2006/0240369
903	7866921	2007/0062701
904	7837883	2003/0121868
905	7726908	2004/0191755
906	7726908	2005/0286978
907	7708892	2007/0241057
908	7708892	2006/0264521
909	7708892	2006/0273014
910	7662290	2002/0066568
911	7645385	2002/0117444
912	7645385	2003/0136731
913	7618547	2005/0109696
914	7527736	2004/0031742
915	7527736	2007/0051513
916	7527736	2007/0102359
917	7399141	2004/0082828
918	7255514	2004/0082828
919	7204660	2003/0131641
920	7198433	2005/0201831
921	7198433	2003/0008381
