us_class	patent
210/744	480
435/003	481
435/262	481
048/127.3	482
048/127.9	482
435/166	482
435/290.4	482
435/300.1	482
241/062	483
252/070	484
600/395	485
034/443	486
210/721	487
210/660	488
285/423	489
285/903	489
024/016.PB	489
210/702	490
210/205	490
210/241	490
210/748	491
210/759	492
261/122.1	493
405/128.5	494
588/256	494
405/129.3	494
210/747	494
502/400	495
524/414	496
106/287.29	496
106/287.1	496
106/287.32	496
588/231	496
588/236	496
588/252	496
588/255	496
588/256	496
588/901	496
047/058.1SC	497
238/084	498
428/034.1	499
083/178	500
156/095	500
175/057	501
405/231	501
405/240	501
203/001	502
203/010	502
203/002	502
203/022	502
203/024	502
203/026	502
203/040	502
203/DIG.8	502
202/160	502
202/197	502
202/176	502
210/603	503
210/631	503
210/188	503
210/192	503
210/615	504
210/220	505
210/241	505
210/532.2	505
210/291	505
405/302.6	506
405/302.7	506
210/097	507
210/602	508
210/615	508
210/747	508
588/256	509
210/149	510
210/172	510
210/418	510
210/721	511
261/120	511
210/220	511
210/198.1	511
405/229	512
404/028	512
404/031	512
405/016	512
405/025	512
405/030	512
405/032	512
405/107	512
405/258.1	512
405/302.4	512
405/302.6	512
052/DIG.9	512
210/626	513
210/197	513
210/195.3	513
405/129.57	514
405/129.85	514
588/252	515
405/129.27	515
052/020	516
404/025	516
220/220	516
166/302	517
429/012	518
210/695	519
210/223	519
210/243	519
210/748	519
435/290.1	520
166/245	521
210/610	522
405/075	523
405/195.1	523
405/303	523
422/261	524
202/185.1	525
202/196	525
202/205	525
210/163	526
210/541	526
210/709	527
210/726	527
210/205	527
210/617	528
210/151	528
210/722	529
210/220	529
405/061	530
405/217	530
405/302.4	531
405/302.7	531
210/640	532
644/649	532
644/321.75	532
644/175	532
095/043	532
095/045	532
096/004	532
096/006	532
205/626	533
204/278	533
106/724	534
106/725	534
106/640	534
106/643	534
588/003	534
166/302	535
210/620	536
166/053	537
702/012	537
210/605	538
210/631	538
166/057	539
166/064	540
166/263	541
166/300	542
210/718	543
210/724	543
210/750	543
210/903	543
210/906	543
405/270	544
405/129.95	544
405/302.7	544
166/250.12	545
435/262	546
435/262.5	546
210/610	546
166/302	547
405/129.25	548
588/249	548
405/129.95	548
210/650	549
210/321.79	549
210/321.8	549
210/416.1	549
210/620	550
210/758	550
210/759	550
210/763	550
210/908	550
588/001	550
525/061	550
528/480	550
166/066.5	551
210/743	552
210/757	552
210/758	552
210/804	552
210/259	552
210/202	552
210/206	552
210/096.1	552
435/262	553
588/205	553
435/290.1	553
210/626	554
405/229	555
405/270	555
405/271	555
405/284	556
052/020	557
052/079.1	557
052/136	557
405/041	557
405/136	557
203/011	558
203/024	558
203/026	558
203/001	558
203/023	558
203/DIG.17	558
203/DIG.25	558
202/182	558
202/172	558
202/205	558
159/024.1	558
159/044	558
159/DIG.16	558
166/303	559
166/265	559
210/169	560
029/426.4	561
552/625	562
210/656	562
210/624	563
210/626	563
210/195.4	563
210/256	563
210/262	563
210/197	563
210/163	564
210/170	564
134/001	565
134/007	565
134/010	565
134/111	565
134/184	565
134/201	565
451/036	565
451/104	565
210/739	566
700/121	566
705/007	566
210/749	566
700/266	566
700/273	566
210/257.1	567
422/186.21	568
422/186.22	568
422/186.23	568
422/186.26	568
422/186.27	568
204/164	568
204/165	568
204/168	568
210/718	569
210/724	569
210/727	569
264/141	570
264/918	570
264/920	570
435/262.5	571
435/264	571
071/011	571
405/129.95	572
405/129.2	572
405/128.25	572
405/229	573
405/302.6	573
052/DIG.9	573
210/799	574
588/253	575
210/610	576
210/149	576
210/205	576
210/638	577
210/651	577
210/758	577
210/763	577
210/691	578
210/620	579
062/532	580
106/772	581
106/038.9	581
210/620	582
210/768	583
110/345	584
588/205	584
405/129.75	585
210/170	585
210/742	586
241/021	587
241/101.2	587
166/305.1	588
405/129.15	588
405/053	588
241/099	589
241/606	589
501/072	590
501/066	590
800/295	591
800/320	591
060/775	592
060/039.55	592
210/621	593
210/626	593
405/129.95	594
405/129.27	594
405/129.25	594
405/129.28	594
210/602	594
210/620	595
210/620	596
210/634	597
210/639	597
210/670	597
210/676	597
210/677	597
210/774	597
422/245.1	598
700/090	599
700/097	599
705/007	599
345/965	599
210/609	600
210/620	601
210/620	602
210/151	603
037/307	604
702/030	605
700/266	605
705/001	605
037/317	606
707/517	606
707/530	606
210/602	607
210/739	608
210/650	608
210/660	608
210/702	608
210/748	608
205/626	609
204/252	609
210/620	610
210/170	610
210/636	611
210/639	611
210/641	611
210/651	611
210/721	611
210/722	611
210/724	611
210/760	611
210/806	611
210/739	612
210/808	612
210/170	612
210/097	612
210/151	613
210/121	613
210/170	613
210/206	613
210/207	613
210/220	613
210/260	613
210/532.2	613
137/576	613
210/605	614
210/656	615
210/198.2	615
062/188	616
062/093	616
588/256	617
588/236	617
405/128.75	617
277/314	618
210/605	619
210/615	619
210/616	619
210/621	619
210/626	619
210/903	619
210/151	619
062/291	620
062/093	620
210/151	621
210/096.1	621
210/097	621
210/199	621
210/220	621
210/610	621
210/621	621
210/631	622
210/705	622
210/709	622
210/724	622
210/743	622
210/195.1	622
210/712	622
210/199	622
210/202	622
423/483	623
423/490	623
423/158	623
210/163	624
210/198.1	625
210/117	625
052/582.1	626
052/583.1	626
052/586.1	626
052/586.2	626
052/589.1	626
