	0	1	2	3
496	('7959376', '98140e6fe6df87cb88e418a69732485f')			
497				
498	('7837883', '106c6f9bfd06a4500e1b6bea45b51cca')			
499				
500	('7708892', '72c0da3e2176306c3478bf87cfa4cc00')			
501	('7704373', '0f4db82ed11ff4df873f3bf66fc8f242')			
502	('7662290', '05e5f25bfb3a513d96baf45929695978')			
503	('7645385', 'a652b36136bb19aab5516332fc501809')	('7645385', 'de6f09c2d889de841f7de8f5b55417c8')		
504	('7618547', '3781b862cf9766c59d914637d92eda80')			
505	('7537415', 'd0f43702bbf6dfb6968d28a83761d83b')			
506	('7527736', '64c549db443ce03ff666029b7398ea6e')			
507	('7517456', 'd2fbc733110718a242b93e9a395dd018')			
508	('7429329', '378ff9fb48556d3eec348ae0aff813eb')			
509	('7399141', '23df0414a8e19527b5e8e27c8637b297')			
510	('7360967', '918046df8eb639dcff759beddf87fad5')			
511	('7255514', '23df0414a8e19527b5e8e27c8637b297')			
512	('7249916', '3a44c01d09b45c5765f28c63b8f8794c')			
513	('7223362', '95cb2ae89cee88fab61c338b6a66e257')			
514				
515	('7198433', '468da58984f32ead5e04099c7722d5fe')			
516	('7156027', 'c575e93b23e60be33cfa8f1a40a7c916')			
517	('7157001', '2345128f5ad52f5fd64c8a9ae66c840e')			
518	('7069990', '801e13f4393eedbec3f5784930154efe')			
519	('6991593', '65794f71d76ce77e0f6356e20f28c0d7')			
520				
521	('6955796', '104436cf71f7c4b76e91e9158335a4c0')			
522	('6840712', '9b8ae4c78eb52006f34625b35e4575f1')			
523	('6833124', 'b9d9509c5ee918cdc34860753522a655')			
524	('6576130', 'b12a79a3a1496c7ddc807f85c0dfbcee')			
525	('6481929', '6d3d2b66cd5ed01e89d734867d61a4ba')	('6481929', '7591b1e04056229b4b3d544615b09cbb')	('6481929', '3781b862cf9766c59d914637d92eda80')	
526	('6435770', 'b6f1496a92e8719c3de9084ac7affd0e')			
527				
528				
529				
530	('6290637', '9874c3798a9ed12ee6c826aa2e85d476')			
531	('6241800', '1aa4220d60452db35ec4b61c171fea0b')			
532				
533				
534	('6110383', '2a2072c17d83cc22098f0c18548134c5')			
535	('5972220', 'c610954be2790930e31d1d112416db20')			
