	inventor	patent_id
627	Paul J. Suto	285
628	Bernard. F. Duesel	286
629	Michael J. Rutsch	286
630	Aicardo Roa-Espinosa	287
631	Michael Dennis Krysiak	287
632	Thomas Alan Benjamin	288
633	Craig Jay Jones	288
634	Luther Alba Brice	288
635	Alexander G. Fassbender	289
636	Daniel Goldmann	290
637	Bram den Dunnen	290
638	Michael Knust	290
639	Kenneth F. Ede	291
640	Kerry C. Thorson	291
641	GREG B. KENT	292
642	Roger W. Carson	293
643	Bruce W. Bremer	293
644	DAVID USHER	294
645	Scott Blair Godlien	295
646	Keith R. Minnich	296
647	Mark C. Nicholson	296
648	RamKumar Karlapudi	296
649	Richard M. Schoen	296
650	Jason Demers A.	297
651	Scott Leonard A.	297
652	Kingston Owens	297
653	David TAYLOR B.	298
654	Stephen TOPAZ R.	298
655	Keith R. Minnich	299
656	Ramkumar Karlupudi	299
657	Richard M. Schoen	299
658	Byung J. Kim	300
659	Seok-Young Oh	300
660	Pei C. Chiu	300
661	Daniel K. Cha	300
662	Uwe Rother	301
663	Frank Wiemeyer	301
664	Eberhard Kopp	301
665	Christoph Gundlach	301
666	KEVIN SLOUGH	302
667	TROY LUPUL	302
668	Brian Elson	303
669	Brian Large C.	303
670	Peter Norman	303
671	Richard Hoover L.	303
672	Yasuhiro Tada	304
673	Shingo Taniguchi	304
674	Masayuki Hino	304
675	Takeo Takahashi	304
676	Kenichi Suzuki	304
677	Toshiya Mizuno	304
678	Christopher W. Powanda	305
679	Yoshiaki Fukuda	306
680	Hirofumi Shiochi	306
681	Motomasa Okubo	306
682	Fumiyuki Yahagi	306
683	Toshihiko Mita	306
684	Kazuo Ishihara	306
685	Andrew Gordon W.	307
686	Alexander G. Fassbender	308
687	Robert Elefritz A.   JR.	309
688	James Scott Holland   III	309
689	Donald M.D. Gray (Gabb)	310
690	Paul J. Suto	310
691	Bengt Goran Eriksson	311
692	Stephen Ross Orpin	311
693	Timothy Kevin Graham	311
694	Jian-Rung Cheng	312
695	Tong-Fu Hsiao	312
696	David Van Vliet Ritchie	313
697	Herbert Campbell Wallace	313
698	Stephen Chambers Barrie	313
699	John J. Lewnard	314
700	David Moore J.	315
701	William Betts C.	315
702	GEORGE J. CYMERMAN	316
703	JESSICA VANDENBERGHE	316
704	Peter J. Ianniello	317
705	Aigen Zhao	317
706	Gary L. Shaffer	317
707	Hugues De Feraudy	318
708	Henri Seinera	318
709	Wing Young Yip	319
710	Jurgen Schenk	320
711	Frank Manfred Franz Mueller	321
712	Rocky R. White	322
713	Lawrence J. Bradford	322
714	Douglas Kelley G.	323
715	Richard Handley A.	323
716	Steve Benesi C.	324
717	Patrick Costalloe J.	324
718	Terry Maier L.	325
719	Michael Wagner P.	326
720	Sanjay Bellara	327
721	Randy Adams Howard	328
722	Thomas Kryzak J.	329
723	Kuniomi Araki	330
724	Keith Edward Forrester	331
725	John Poppe R.	332
726	Keith Edward Forrester	333
727	Brian Rogers	334
728	Andrea Alba	334
729	Shrinivas Peri	334
730	Shannon Stocks	334
731	Lingo Chang	334
732	David E. Brune	335
733	John A. Collier	335
734	Thomas E. Schwedler	335
735	A. G. Eversole	335
736	Steven Lumbert	336
737	Thomas J. Casper	337
738	Mark A. Schoenenberger	337
739	Brad D. Laubenstein	337
740	James A. Reilly	337
741	Joseph G. Krall	337
742	Thomas Alan Benjamin	338
743	Craig Jay Jones	338
744	Luther Alba Brice	338
745	Steven L. Cort	339
746	Wayne H. Dickinson	340
747	Kevin Mickelson	341
748	Roger Engelsgaard	341
749	Raymond Guyomarc'h	342
750	Hassan Badreddine Hans	343
751	Lysane Bolduc	344
752	Regis Renaud P.	345
753	Edward Jordan J.	346
754	Wenjun Liu	346
755	Masanori Adachi	347
756	Tatsuo Shimomura	347
757	David L. Polston	348
758	Gary Hater R.	349
759	Roger Green B.	349
760	Jeffrey Harris M.	349
761	Phillip Smith A.	349
762	Greg Enterline A.	349
763	Michael Thomas	349
764	Kevin Mieczkowski	349
765	John Barbush A.	349
766	Guy Chartier Norman	350
767	Joachim Steinbeck	351
768	James Howard R.	352
769	Rainer Bunge	353
770	Michael Bowman John	354
771	Werner Heidel	355
772	Jinliang Ding	356
773	Graham John Gibson Juby	357
774	Thomas Benjamin Alan	358
775	Craig Jones Jay	358
776	Luther Brice Alba	358
777	Andrew Martin John	359
778	Sunggyu Lee	360
779	Asdrubal Garcia-Ortiz	360
780	John Wootton	360
781	Craig Brase S.	361
782	Dirk Bodegom Albertus	362
783	Robertus Cornelis Rullens Jacobus Maria	362
784	Arie Nooy Van Der Kolff Hessel	362
785	Alan Hassett F.	363
786	Jerry Leone	364
787	Larry Shilling	364
788	Keith Forrester Edward	365
789	Dave Van Vliet	366
790	Herbert Wallace Campbell	366
791	Stephen Barrie Chambers	366
792	Zhi Min LIAO	367
793	Jing Kui GUO	367
794	Yu He HUANG	367
795	Jing ZOU	367
796	Zhi Qiang CHEN	367
797	Rui Zhi DAI	367
798	Wen Yan SHI	367
