patent	us_class
1859	405/129.25
1860	405/129.95
1861	405/129.25
1862	423/055
1863	210/747
1864	405/258.1
1865	210/605
1866	205/688
1867	210/170
1868	588/236
1869	205/697
1870	405/129.1
1871	210/758
1872	585/240
1873	169/047
1874	442/035
1875	435/262
1876	210/766
1877	405/129.2
1878	405/129.95
1879	210/610
1880	037/307
1881	037/317
1882	210/660
1883	405/129.9
1884	210/749
1885	210/636
1886	047/058.1
1887	166/250.07
1888	075/712
1889	210/710
1890	210/605
1891	405/129.5
1892	210/634
1893	588/228
1894	210/759
1895	208/428
1896	252/175
1897	210/764
1898	588/256
1899	702/006
1900	075/398
1901	210/688
1902	588/257
1903	210/732
1904	210/605
