ipc	patent
E02B	1521
B63B	1522
B63B	1523
E02B	1524
E02B	1525
E02B	1526
G01S	1527
A01N	1528
E02B	1529
B63B	1530
E02B	1531
B65D	1532
E02B	1533
E02B	1534
E02B	1535
E02B	1536
G06Q	1537
E02B	1538
E02B	1539
E02B	1540
C04B	1541
C02F	1542
E02B	1543
E02B	1544
B63B	1545
E02B	1546
C02F	1547
E02B	1548
E02B	1549
B63B	1550
B63B	1551
B63G	1552
F23G	1553
C02F	1554
B32B	1555
A61K	1556
B63B	1557
E02D	1558
B09B	1559
C02F	1560
E02B	1561
E02B	1562
E02B	1563
B63B	1564
B63B	1565
E02B	1566
C02F	1567
E02B	1568
B65G	1569
B63B	1570
E02B	1571
B63B	1572
E02D	1573
C22F	1574
E02B	1575
E02B	1576
E02B	1577
E02B	1578
E02B	1579
C02F	1580
B02C	1581
E02D	1582
B63B	1583
E02B	1584
B65B	1585
B64F	1586
C02F	1587
B08B	1588
B08B	1589
B08B	1590
E02B	1591
C02F	1592
E02B	1593
C02F	1594
B63B	1595
E02B	1596
C02F	1597
B63B	1598
B66C	1599
C09K	1600
E04F	1601
E02B	1602
E03B	1603
B63B	1604
E02B	1605
E02B	1606
E02B	1607
B63B	1608
B63C	1609
B09B	1610
B09B	1611
B09B	1612
E02B	1613
E02D	1614
B63B	1615
B09B	1616
A01K	1617
B65G	1618
E21B	1619
B05B	1620
B01D	1621
C02F	1622
B63B	1623
E02B	1624
C02F	1625
B63B	1626
B63B	1627
B63B	1628
C02F	1629
B63B	1630
B09B	1631
C02F	1632
G06F	1633
C08K	1634
B08B	1635
B63B	1636
B63B	1637
C09K	1638
B08B	1639
G21F	1640
E02B	1641
E04H	1642
C02F	1643
B27N	1644
E02D	1645
C02F	1646
B63B	1647
B63B	1648
E01C	1649
C02F	1650
B63H	1651
F23C	1652
B65D	1653
B05D	1654
B01D	1655
B28B	1656
E02D	1657
E21B	1658
C02F	1659
B09B	1660
E02D	1661
B63H	1662
C12S	1663
E21B	1664
A62D	1665
C02F	1666
C12N	1667
E02F	1668
E02F	1669
B01D	1670
B63B	1671
E02D	1672
B09B	1673
B01J	1674
B01F	1675
A62D	1676
B63B	1677
B63B	1678
E02D	1679
B63B	1680
A62D	1681
B01J	1682
B01D	1683
C09K	1684
C02F	1685
C02F	1686
C02F	1687
C02F	1688
C02F	1689
A61L	1690
C02F	1691
C02F	1692
B09B	1693
B01D	1694
B01F	1695
F28D	1696
B01J	1697
C02F	1698
C02F	1699
A61L	1700
C02F	1701
B09C	1702
C01B	1703
B09B	1704
C02F	1705
C02F	1706
E02B	1707
C02F	1708
C02F	1709
B09B	1710
C02F	1711
B09C	1712
C01B	1713
E21B	1714
E02B	1715
G06Q	1716
C02F	1717
C02F	1718
B09B	1719
B01D	1720
C02F	1721
B09B	1722
C02F	1723
C02F	1724
C01B	1725
C02F	1726
E21B	1727
C02F	1728
A62D	1729
B09B	1730
C12N	1731
C02F	1732
C12P	1733
F25D	1734
C02F	1735
B09B	1736
C02F	1737
C02F	1738
E02D	1739
B09B	1740
C02F	1741
B09B	1742
B01D	1743
B09B	1744
C02F	1745
B09B	1746
G21F	1747
C10J	1748
C02F	1749
C02F	1750
B09B	1751
C02F	1752
C02F	1753
B01D	1754
C02F	1755
B09B	1756
A61L	1757
A61L	1758
C02F	1759
B09B	1760
B01D	1761
B01J	1762
C02F	1763
C02F	1764
C02F	1765
C10L	1766
C02F	1767
B65D	1768
B01D	1769
B09C	1770
B09B	1771
B09B	1772
E02B	1773
C02F	1774
B09C	1775
B09C	1776
E21B	1777
B01D	1778
A62D	1779
C02F	1780
C02F	1781
B09C	1782
E02D	1783
C02F	1784
F26B	1785
C02F	1786
B01J	1787
B09B	1788
B09B	1789
B09C	1790
B01D	1791
A62D	1792
C02F	1793
C05F	1794
B09B	1795
F23B	1796
C02F	1797
C02F	1798
